Place,Address,Phone Number,Hours,Info,Notes,Type,Latitude,Longitude,marker-color
Human Solutions Family Shelter,16141 E Burnside Street,Call 211 for more information,Open 3:30 p.m. _ 7:30 a.m. daily,"Serves:
Families with children under 18
Women in third trimester
No turn away policy
Walk-ins welcome",,Year-Round Shelter,45.522602,-122.496822,#548cba
Safety off the Streets Shelter,435 NW Glisan Avenue, 503-280-4700,Open 5 p.m. - 8 a.m. daily,"Serves:
Female-identified adults",,Year-Round Shelter,45.526747,-122.674879,#548cba
Salvation Army Female Emergency Shelter (SAFES),30 SW Second Avenue,503-227-0180,Open 6 p.m. - 8 a.m. daily,"Serves:
Female-identified adults",,Year-Round Shelter,45.522743,-122.672108,#548cba
Portland Rescue Mission,111 W Burnside Street,503-906-7690,Entry to year-round beds at 5:45 p.m.,"Serves:
Adult men",Winter beds open at 8 p.m.,Year-Round Shelter,45.523396,-122.67168,#548cba
Sears Emergency Center,650 NW Irving Street (Bud Clark Commons),503-280-4700,,"Serves
Priority for self-identified females over 18
Second priority for couples",,State of Emergency Temporary Shelter,45.527791,-122.677301,#ff0000
Peace Shelter,650 NW Irving Street (Bud Clark Commons),503-280-4700,,"Serves
Single men over 18
Priority given to men over 55 and veterans",,State of Emergency Temporary Shelter,45.527791,-122.677301,#ff0000
Bud Clark Commons,650 NW Irving Street,503-280-4700,Open 8:30 p.m. -  7 a.m.,"Serves:
Adults 18 and older
Walk-ins welcome",,Severe Weather Only Emergency Shelter,45.527791,-122.677301,#f224f2
City Team Ministries,526 SE Grand Avenue,503-231-9334,Open 5:45 p.m. - 7 a.m.,"Serves:
Adult men
$5 fee waived during emergencies
Walk-ins welcome",,Severe Weather Only Emergency Shelter,45.518944,-122.660405,#f224f2
Imago Dei Emergency Shelter,1302 SE Ankeny Street,,Open 8:30 p.m. - 7 a.m.,"Serves
Families
Single adults and youth
Pets allowed",,Severe Weather Only Emergency Shelter,45.52192,-122.651994,#f224f2
Union Gospel Mission,15 NW Third Avenue,971-678-3354,,"Serves:
60 beds during severe weather only
Walk-ins during severe weather",,Severe Weather Only Emergency Shelter,45.52346,-122.673599,#f224f2
JOIN Day Space,"1435 NE 81st Avenue, Suite 100",503-232-2031,"Open 10 a.m. - 3 p.m., Monday - Friday (closed second Friday of each month)","Amenities:
Restrooms
Showers
Phone and internet access
Mail services
Family area with showers, hygiene items and referral services
Haircuts
Acupuncture
Weekly partner services:
DHS
SSI
VA
SSVF
Outside In medical van
Cascadia Behavioral Health
Serves all on a first come, first served basis",,Day Services,45.533312,-122.580319,#13f939
Transition Projects,650 NW Irving Street,503-280-4700,"Open 7 a.m. - 6:45 p.m., Monday - Friday; 8 a.m. - 3:45 p.m., Saturday - Sunday; Holidays
Clothing sign-up hours are 7 a.m. and 1:30 p.m.
Shower/laundry sign-up hours are 7 a.m.
TB testing hours are 1:15 p.m. - 3:15 p.m., Mondays and Thursdays","Amenities:
Daily lockers
Bathrooms
Clothing
Showers
Laundry services",,Day Services,45.527791,-122.677301,#13f939
Rose Haven,627 NW 18th Avenue,503-248-6364,"Open 8:30 a.m. - noon, 1:00 a.m. - 4:00 p.m., Monday - Friday","Amenities:
Meals
Clothing and other necessities
Advocacy services and counseling
Serves women and their children",,Day Services,45.527624,-122.689671,#13f939
Transition Projects,650 NW Irving Street,,"7 a.m. - 6:45 p.m., Monday - Friday
8 a.m. - 3:45 p.m., Saturday, Sunday, Holidays",,,Drop-in Sites,45.527791,-122.677301,#000000
Operation Nightwatch,1432 SW 13th Avenue,503-220-0438,"7 p.m. - 11 p.m., Thursday - Saturday",,,Drop-in Sites,45.515622,-122.687618,#000000
Portland Rescue Mission,111 West Burnside,,24/7 drop-in,,,Drop-in Sites,45.523396,-122.67168,#000000
Rose Haven,627 NW 18th Avenue,,"8:30 a.m. - noon, and 1 p.m. - 4 p.m., Monday - Friday
",Women and children only,,Drop-in Sites,45.527624,-122.689671,#000000
SAFES,30 SW Second Avenue,503-227-0810,"7 a.m. - 11 p.m., Monday - Sunday",,,Drop-in Sites,45.522743,-122.672108,#000000
Union Gospel Mission,3 NW Third Avenue,,"10 a.m. - 11:45 a.m., 2 p.m. - 4 p.m.",,,Drop-in Sites,45.52332,-122.673589,#000000
"St. Andre Bessette Hospital Center, Downtown Chapel",601 W Burnside Street,,"9 a.m. - 11:30 a.m., Monday - Friday",,,Drop-in Sites,45.523265,-122.676743,#000000
Youths: HarryÍs Mother,738 NE Davis Street,"503-233-8111
1-800-914-9706",24/7 for youths ages 9 - 17,,,Drop-in Sites,45.524177,-122.657847,#548cba
